# zee-fuzz-rc-gecmisi-1
# git_sha	tarih	platform	os	cpu	ram_bytes	rust	cargo_fuzz	target	requested_seconds	actual_seconds	executions	crashes	timeouts	sanitizer	result
b75072beac1a54125f7cd76c51965accc4d9526f	2026-09-03	macOS-arm64	macOS-26.6.2	Apple M4 Pro	25769803776	rustc 1.100.0-nightly (908501772 2026-08-30)	0.13.2	lexer_parser	1800	1801	13034402	0	0	address	gecti
b75072beac1a54125f7cd76c51965accc4d9526f	2026-09-03	macOS-arm64	macOS-26.6.2	Apple M4 Pro	25769803776	rustc 1.100.0-nightly (908501772 2026-08-30)	0.13.2	morfoloji	1800	1801	19622858	0	0	address	gecti
b75072beac1a54125f7cd76c51965accc4d9526f	2026-09-03	macOS-arm64	macOS-26.6.2	Apple M4 Pro	25769803776	rustc 1.100.0-nightly (908501772 2026-08-30)	0.13.2	http_istegi	1800	1801	85659451	0	0	address	gecti
b75072beac1a54125f7cd76c51965accc4d9526f	2026-09-03	macOS-arm64	macOS-26.6.2	Apple M4 Pro	25769803776	rustc 1.100.0-nightly (908501772 2026-08-30)	0.13.2	wasm_abi	1800	1801	18472853	0	0	address	gecti
